"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C8","2","10µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C7","2","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C5","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","220µF","","","","Capacitor_SMD:CP_Elec_6.3x5.4","~"
"LS1","1","Speaker","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"R1,R3","2","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1,RV2","2","100kΩ","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1,U2","2","LM555xM","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"U3","1","LM386","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm386.pdf"
