"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C7","2","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4,C5,C6,C8","5","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2,D6","3","1N4007","","","","Diode_SMD:D_SMA","http://www.vishay.com/docs/88503/1n4001.pdf"
"D3,D4,D5","3","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","FAN","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"J2","1","PIR CONTROLLER","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J3","1","POWER SUPPLY","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"J4","1","LIGHT","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"J5,J6","2","Conn_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"K1,K2,K3","3","SANYOU_SRD_Form_A","","","","Relay_THT:Relay_SPST_SANYOU_SRD_Series_Form_A","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"LA1","1","Lamp","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"Q1,Q2,Q3","3","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1","1","GL5528","","","","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","~"
"R3,R4,R5,R6,R7,R14","6","220Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","20kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11,R12,R13","3","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18,R19","2","100kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1,RV2,RV3","3","10kΩ","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_TL3342","~"
"U1","1","ESP32-WROOM-32","","","","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf"
"U2","1","LM555xM","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"U3","1","LM393","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"U4","1","LM358","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"U6","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U7","1","LM35-LP","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.ti.com/lit/ds/symlink/lm35.pdf"
