"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","Buzzer_Beeper:Buzzer_12x9.5RM7.6","~"
"C1","1","10µF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1","1","BATTERY","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"R1,R2,R3,R5,R6","5","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R7","2","220Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1","1","10kΩ","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1","1","LM555xM","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"U2","1","LM393","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm393.pdf"
