"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100µF","","","","Capacitor_SMD:CP_Elec_5x5.4","~"
"C2","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","RED","","","","LED_SMD:LED_0805_2012Metric","~"
"D2","1","YELLOW","","","","LED_SMD:LED_0805_2012Metric","~"
"D3","1","GREEN","","","","LED_SMD:LED_0805_2012Metric","~"
"R1","1","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3,R4","3","220Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1","1","100kΩ","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
"U1","1","LM555xM","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"U2","1","4017","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4017bms-22bms.pdf"
